locality,area,cost
Kanakpura Road,1254 - 1475,₹72.32 L Onwards
Kudlu Gate,714,₹54.01 L
Electronic City Phase II,1940,₹1.14 Cr
Sarjapur Road,1585 - 1644,₹98.38 L - 1.02 Cr
Budigere,1636 - 1820,₹84.99 L Onwards
Balagere,1059 - 1224,₹37.65 L - 43.51 L
Hoskote,1144 - 1357,₹34.31 L - 40.7 L
Harlur,1740 - 1778,₹1.01 Cr - 1.03 Cr
Electronic City,1691 - 1702,₹1 Cr Onwards
Hennur Road,390,₹29 L
Vijayanagar,606,₹44.84 L
Raja Rajeshwari Nagar,1377 - 1693,₹46.82 L - 57.56 L
Kadugodi,1150 - 1220,₹41.4 L - 43.92 L
Hennur Road,1450 - 1561,₹92.7 L Onwards
Harlur,565,₹43.43 L
Jigani,960 - 2400,₹15.36 L - 38.4 L
Raja Rajeshwari Nagar,1620 - 1961,₹72.9 L - 88.25 L
Ramamurthy Nagar,1150 - 1280,₹53.25 L - 59.26 L
Raja Rajeshwari Nagar,990 - 1210,₹42.57 L - 52.03 L
Electronic City Phase II,1000 - 1200,₹35 L - 42 L
Banjara Layout,1278 - 1731,₹61.34 L - 83.09 L
Kogilu,1015 - 1115,₹49.74 L - 54.64 L
Old Madras Road,611 - 809,₹22 L - 29.12 L
Kanakpura Road,1470 - 1590,₹80.85 L - 87.45 L
Kadugodi,1553,₹55.13 L
Banjara Layout,930 - 1040,₹44.64 L - 49.92 L
Avalahalli,1091,₹80.25 L
Electronics City Phase 1,1288 - 1303,₹34.78 L - 35.18 L
Uttarahalli,965 - 1080,₹48.24 L - 53.99 L
Tumkur Road,1441 - 1586,₹95.44 L Onwards
Whitefield,891.7,₹40.13 L
Byatarayanapura,1121,Price on Request
Nallurhalli,1075 - 1195,₹45.15 L - 50.19 L
Sarjapur Road,568 - 771,₹24.42 L - 33.15 L
Whitefield,866 - 1150,₹35 L - 46.47 L
Hosa Road,1016 - 1226,₹39.62 L - 47.81 L
Uttarahalli,1154 - 1234,₹51.92 L - 55.52 L
Anekal,1200 - 5000,₹7.2 L - 30 L
Electronics City Phase 1,1168 - 1378,₹31.54 L - 37.21 L
Harlur,1353 - 1386,₹78.34 L - 80.25 L
Sarjapur Road,1195 - 1241,₹74.93 L - 77.81 L
Yelahanka,1705,₹89.24 L
Yelahanka,1273 - 1304,₹67.65 L Onwards
Kogilu,1330,₹65.17 L
Sarjapur Road,1335 - 1395,₹74.76 L - 78.12 L
Bannerghatta Road,1086 - 1101,₹47.73 L - 48.39 L
